팀명,1,2,3,4,5,6,7,8,9,10,11,12,R,H,E
두산,0,0,1,0,0,3,1,0,3,,,,8,7,1
KIA,0,0,2,2,0,0,0,0,2,,,,6,14,1
삼성,0,0,0,0,1,0,0,1,1,0,0,3,13,0,
한화,0,1,1,0,0,0,0,0,1,0,1,4,8,0,
키움,3,5,0,1,0,3,1,0,0,,,,13,15,0
LG,0,3,0,0,0,0,0,0,0,,,,3,10,0
kt,0,0,0,0,0,0,0,1,3,0,4,9,0,,
롯데,1,1,0,0,0,0,0,0,2,1,5,8,0,,
NC,0,0,1,1,2,0,0,0,0,,,,4,10,0
SK,0,5,0,1,0,1,1,2,-,,,,10,15,1
두산,1,0,0,2,0,2,5,0,0,,,,10,14,0
KIA,0,0,0,0,0,1,0,0,0,,,,1,5,0
삼성,4,0,0,0,0,0,0,1,0,,,,5,12,1
한화,0,0,8,2,0,0,0,2,-,,,,12,12,1
키움,1,2,0,0,0,0,0,0,4,,,,7,10,0
LG,0,3,0,0,0,0,0,0,0,,,,3,8,1
kt,1,0,0,0,0,1,0,0,4,,,,6,11,0
롯데,0,1,0,0,0,0,1,1,0,,,,3,7,0
NC,0,0,0,0,0,1,0,0,0,,,,1,7,0
SK,3,0,0,0,0,0,0,1,-,,,,4,9,0
두산,2,0,1,0,0,0,6,0,0,,,,9,10,0
KIA,0,1,0,0,0,0,0,0,1,,,,2,6,0
삼성,0,1,0,7,2,1,5,0,0,,,,16,23,1
한화,0,0,0,0,0,0,0,0,0,,,,0,0,0
키움,0,0,1,0,2,0,0,0,0,,,,3,8,2
LG,0,0,1,2,0,1,0,1,-,,,,5,7,1
KIA,0,0,0,2,0,0,0,0,0,,,,2,3,0
LG,0,0,6,2,0,1,0,0,-,,,,9,9,0
NC,0,1,0,1,0,0,0,0,2,,,,4,9,0
kt,0,0,0,2,1,0,0,0,0,,,,3,8,2
두산,0,0,0,4,1,2,2,0,0,,,,9,13,0
키움,1,0,0,0,1,0,1,0,0,,,,3,8,0
KIA,0,0,0,0,0,0,1,0,2,,,,3,6,2
LG,2,4,0,1,2,1,0,0,-,,,,10,14,0
롯데,1,0,0,0,2,0,0,1,0,0,0,4,12,3,
한화,0,0,0,3,0,0,0,1,0,0,1,5,9,0,
NC,0,2,0,2,0,0,5,0,1,,,,10,12,1
kt,1,0,1,0,0,0,0,0,0,,,,2,6,3
두산,0,0,0,1,0,2,0,0,0,,,,3,6,0
키움,0,2,0,0,1,0,4,1,-,,,,8,13,0
SK,0,0,0,0,1,1,3,0,3,0,1,9,12,2,
삼성,1,1,0,3,0,0,0,0,3,0,0,8,16,0,
두산,0,5,0,1,0,0,0,0,0,,,,6,11,1
키움,0,2,5,2,0,0,0,0,-,,,,9,16,1
SK,0,0,2,0,0,1,0,0,0,1,4,8,1,,
삼성,0,1,1,0,1,0,0,0,0,0,3,12,1,,
KIA,0,2,0,0,0,0,0,1,1,,,,4,14,2
키움,1,2,0,0,5,0,0,0,-,,,,8,8,0
롯데,0,0,1,0,2,0,0,0,5,,,,8,8,2
두산,0,3,0,3,5,0,0,0,-,,,,11,12,2
SK,0,0,0,0,0,2,0,0,0,,,,2,6,0
kt,0,0,0,0,0,0,0,0,0,,,,0,5,1
한화,0,0,0,1,0,0,0,0,0,,,,1,4,1
NC,0,1,1,1,0,6,6,0,-,,,,15,22,1
KIA,0,1,0,0,0,1,2,0,2,,,,6,9,0
키움,0,0,3,0,0,1,0,0,0,,,,4,8,2
LG,0,3,0,0,3,0,0,1,1,,,,8,12,0
삼성,0,0,0,0,0,0,0,0,0,,,,0,7,1
롯데,0,0,0,0,0,0,0,0,0,,,,0,5,0
두산,0,1,2,0,0,0,4,0,-,,,,7,10,0
SK,0,0,0,0,2,0,0,0,0,,,,2,4,0
